nume_judet	salariu_mediu_net	populatie	nr_someri_per_capita	nume_localitate	nume_localitate_search	tip_localitate	teritoriu
alba	2846	376589	71.7449037912	glod	glod$	sat	rural
alba	2846	376589	71.7449037912	glogovet	glogovet$	sat	rural
alba	2846	376589	71.7449037912	goiesti	goiesti$	sat	rural
alba	2846	376589	71.7449037912	gojeiesti	gojeiesti$	sat	rural
alba	2846	376589	71.7449037912	gorgan	gorgan$	sat	rural
alba	2846	376589	71.7449037912	grosi	grosi$	sat	rural
alba	2846	376589	71.7449037912	gura ariesului	gura ariesului$	sat	rural
alba	2846	376589	71.7449037912	gura cutului	gura cutului$	sat	rural
alba	2846	376589	71.7449037912	gura izbitei	gura izbitei$	sat	rural
alba	2846	376589	71.7449037912	gura rosiei	gura rosiei$	sat	rural
alba	2846	376589	71.7449037912	gura sohodol	gura sohodol$	sat	rural
alba	2846	376589	71.7449037912	hadarau	hadarau$	sat	rural
alba	2846	376589	71.7449037912	haiducesti	haiducesti$	sat	rural
alba	2846	376589	71.7449037912	hanasesti	hanasesti$	sat	rural
alba	2846	376589	71.7449037912	hapria	hapria$	sat	rural
alba	2846	376589	71.7449037912	harasti	harasti$	sat	rural
alba	2846	376589	71.7449037912	hategana	hategana$	sat	rural
alba	2846	376589	71.7449037912	heleresti	heleresti$	sat	rural
alba	2846	376589	71.7449037912	helesti	helesti$	sat	rural
alba	2846	376589	71.7449037912	henig	henig$	sat	rural
alba	2846	376589	71.7449037912	heria	heria$	sat	rural
alba	2846	376589	71.7449037912	hoanca	hoanca$	sat	rural
alba	2846	376589	71.7449037912	hodisesti	hodisesti$	sat	rural
alba	2846	376589	71.7449037912	hodobana	hodobana$	sat	rural
alba	2846	376589	71.7449037912	holobani	holobani$	sat	rural
alba	2846	376589	71.7449037912	hoparta	hoparta$	sat	rural
alba	2846	376589	71.7449037912	horea	horea$	sat	rural
alba	2846	376589	71.7449037912	hudricesti	hudricesti$	sat	rural
alba	2846	376589	71.7449037912	huzaresti	huzaresti$	sat	rural
alba	2846	376589	71.7449037912	iacobesti	iacobesti$	sat	rural
alba	2846	376589	71.7449037912	ibru	ibru$	sat	rural
alba	2846	376589	71.7449037912	iclod	iclod$	sat	rural
alba	2846	376589	71.7449037912	ighiel	ighiel$	sat	rural
alba	2846	376589	71.7449037912	ighiu	ighiu$	sat	rural
alba	2846	376589	71.7449037912	ignatesti	ignatesti$	sat	rural
alba	2846	376589	71.7449037912	iliesti	iliesti$	sat	rural
alba	2846	376589	71.7449037912	incesti	incesti$	sat	rural
alba	2846	376589	71.7449037912	inoc	inoc$	sat	rural
alba	2846	376589	71.7449037912	intregalde	intregalde$	sat	rural
alba	2846	376589	71.7449037912	inuri	inuri$	sat	rural
alba	2846	376589	71.7449037912	isca	isca$	sat	rural
alba	2846	376589	71.7449037912	ivanis	ivanis$	sat	rural
alba	2846	376589	71.7449037912	izbicioara	izbicioara$	sat	rural
alba	2846	376589	71.7449037912	izbita	izbita$	sat	rural
alba	2846	376589	71.7449037912	izlaz	izlaz$	sat	rural
alba	2846	376589	71.7449037912	izvoarele	izvoarele$	sat	rural
alba	2846	376589	71.7449037912	izvoru ampoiului	izvoru ampoiului$	sat	rural
alba	2846	376589	71.7449037912	jeflesti	jeflesti$	sat	rural
alba	2846	376589	71.7449037912	jidostina	jidostina$	sat	rural
alba	2846	376589	71.7449037912	jidvei	jidvei$	sat	rural
alba	2846	376589	71.7449037912	jojei	jojei$	sat	rural
alba	2846	376589	71.7449037912	joldisesti	joldisesti$	sat	rural
alba	2846	376589	71.7449037912	jurcuiesti	jurcuiesti$	sat	rural
alba	2846	376589	71.7449037912	laz	laz$	sat	rural
alba	2846	376589	71.7449037912	lazesti	lazesti$	sat	rural
alba	2846	376589	71.7449037912	lazuri	lazuri$	sat	rural
alba	2846	376589	71.7449037912	lehesti	lehesti$	sat	rural
alba	2846	376589	71.7449037912	leorint	leorint$	sat	rural
alba	2846	376589	71.7449037912	lespezea	lespezea$	sat	rural
alba	2846	376589	71.7449037912	limba	limba$	sat	rural
alba	2846	376589	71.7449037912	lipaia	lipaia$	sat	rural
alba	2846	376589	71.7449037912	livezile	livezile$	sat	rural
alba	2846	376589	71.7449037912	lodroman	lodroman$	sat	rural
alba	2846	376589	71.7449037912	loman	loman$	sat	rural
alba	2846	376589	71.7449037912	lopadea noua	lopadea noua$	sat	rural
alba	2846	376589	71.7449037912	lopadea veche	lopadea veche$	sat	rural
alba	2846	376589	71.7449037912	luminesti	luminesti$	sat	rural
alba	2846	376589	71.7449037912	lunca	lunca$	sat	rural
alba	2846	376589	71.7449037912	lunca ampoitei	lunca ampoitei$	sat	rural
alba	2846	376589	71.7449037912	lunca bisericii	lunca bisericii$	sat	rural
alba	2846	376589	71.7449037912	lunca de jos	lunca de jos$	sat	rural
alba	2846	376589	71.7449037912	lunca goiesti	lunca goiesti$	sat	rural
alba	2846	376589	71.7449037912	lunca larga	lunca larga$	sat	rural
alba	2846	376589	71.7449037912	lunca merilor	lunca merilor$	sat	rural
alba	2846	376589	71.7449037912	lunca metesului	lunca metesului$	sat	rural
alba	2846	376589	71.7449037912	lunca muresului	lunca muresului$	sat	rural
alba	2846	376589	71.7449037912	lunca tarnavei	lunca tarnavei$	sat	rural
alba	2846	376589	71.7449037912	lunca vesesti	lunca vesesti$	sat	rural
alba	2846	376589	71.7449037912	lupaiesti	lupaiesti$	sat	rural
alba	2846	376589	71.7449037912	lupsa	lupsa$	sat	rural
alba	2846	376589	71.7449037912	lupseni	lupseni$	sat	rural
alba	2846	376589	71.7449037912	lupu	lupu$	sat	rural
alba	2846	376589	71.7449037912	lupulesti	lupulesti$	sat	rural
alba	2846	376589	71.7449037912	macaresti	macaresti$	sat	rural
alba	2846	376589	71.7449037912	maghierat	maghierat$	sat	rural
alba	2846	376589	71.7449037912	magura	magura$	sat	rural
alba	2846	376589	71.7449037912	mahaceni	mahaceni$	sat	rural
alba	2846	376589	71.7449037912	mamaligani	mamaligani$	sat	rural
alba	2846	376589	71.7449037912	manarade	manarade$	sat	rural
alba	2846	376589	71.7449037912	manastire	manastire$	sat	rural
alba	2846	376589	71.7449037912	mancesti	mancesti$	sat	rural
alba	2846	376589	71.7449037912	margaia	margaia$	sat	rural
alba	2846	376589	71.7449037912	margineni	margineni$	sat	rural
alba	2846	376589	71.7449037912	marinesti	marinesti$	sat	rural
alba	2846	376589	71.7449037912	martesti	martesti$	sat	rural
alba	2846	376589	71.7449037912	martinie	martinie$	sat	rural
alba	2846	376589	71.7449037912	matacina	matacina$	sat	rural
alba	2846	376589	71.7449037912	matei	matei$	sat	rural
alba	2846	376589	71.7449037912	matisesti	matisesti$	sat	rural
alba	2846	376589	71.7449037912	medresti	medresti$	sat	rural
alba	2846	376589	71.7449037912	medves	medves$	sat	rural
alba	2846	376589	71.7449037912	mereteu	mereteu$	sat	rural
alba	2846	376589	71.7449037912	mescreac	mescreac$	sat	rural
alba	2846	376589	71.7449037912	mesentea	mesentea$	sat	rural
alba	2846	376589	71.7449037912	metes	metes$	sat	rural
alba	2846	376589	71.7449037912	micoslaca	micoslaca$	sat	rural
alba	2846	376589	71.7449037912	mihaiesti	mihaiesti$	sat	rural
alba	2846	376589	71.7449037912	mihalt	mihalt$	sat	rural
alba	2846	376589	71.7449037912	miraslau	miraslau$	sat	rural
alba	2846	376589	71.7449037912	modolesti	modolesti$	sat	rural
alba	2846	376589	71.7449037912	mogos	mogos$	sat	rural
alba	2846	376589	71.7449037912	moraresti	moraresti$	sat	rural
alba	2846	376589	71.7449037912	morcanesti	morcanesti$	sat	rural
alba	2846	376589	71.7449037912	muncelu	muncelu$	sat	rural
alba	2846	376589	71.7449037912	munesti	munesti$	sat	rural
alba	2846	376589	71.7449037912	muntari	muntari$	sat	rural
alba	2846	376589	71.7449037912	mununa	mununa$	sat	rural
alba	2846	376589	71.7449037912	musca	musca$	sat	rural
alba	2846	376589	71.7449037912	nadastia	nadastia$	sat	rural
alba	2846	376589	71.7449037912	namas	namas$	sat	rural
alba	2846	376589	71.7449037912	napaiesti	napaiesti$	sat	rural
alba	2846	376589	71.7449037912	necrilesti	necrilesti$	sat	rural
alba	2846	376589	71.7449037912	necsesti	necsesti$	sat	rural
alba	2846	376589	71.7449037912	negesti	negesti$	sat	rural
alba	2846	376589	71.7449037912	negresti	negresti$	sat	rural
alba	2846	376589	71.7449037912	nelegesti	nelegesti$	sat	rural
alba	2846	376589	71.7449037912	nemesi	nemesi$	sat	rural
alba	2846	376589	71.7449037912	nicoresti	nicoresti$	sat	rural
alba	2846	376589	71.7449037912	niculesti	niculesti$	sat	rural
alba	2846	376589	71.7449037912	noslac	noslac$	sat	rural
alba	2846	376589	71.7449037912	novacesti	novacesti$	sat	rural
alba	2846	376589	71.7449037912	obreja	obreja$	sat	rural
alba	2846	376589	71.7449037912	ocna mures	ocna mures$	oras	urban
alba	2846	376589	71.7449037912	ocnisoara	ocnisoara$	sat	rural
alba	2846	376589	71.7449037912	ocoale	ocoale$	sat	rural
alba	2846	376589	71.7449037912	ocolis	ocolis$	sat	rural
alba	2846	376589	71.7449037912	odverem	odverem$	sat	rural
alba	2846	376589	71.7449037912	ohaba	ohaba$	sat	rural
alba	2846	376589	71.7449037912	oidesti	oidesti$	sat	rural
alba	2846	376589	71.7449037912	oiejdea	oiejdea$	sat	rural
alba	2846	376589	71.7449037912	olteni	olteni$	sat	rural
alba	2846	376589	71.7449037912	oncesti	oncesti$	sat	rural
alba	2846	376589	71.7449037912	orasti	orasti$	sat	rural
alba	2846	376589	71.7449037912	orgesti	orgesti$	sat	rural
